rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:0kdqcbwei4MDWFEX5f33yG","Creepy Nuts","Bling-Bang-Bang-Born","Sony Music Labels Inc.",1,1,31,"577352"
2,"spotify:track:2cxcqKwQtfKq7giphxjzOu","tuki.","晩餐歌","月面着陸計画",2,2,132,"327602"
3,"spotify:track:1hAloWiinXLPQUJxrJReb1","YOASOBI","アイドル","YOASOBI",1,4,303,"267836"
4,"spotify:track:7sditHCsoFw3nHnjFv1BHV","Mrs. GREEN APPLE","ナハトムジーク","Universal Music LLC",3,3,23,"257781"
5,"spotify:track:0teqQ0PYqVDyyXJuPOyMhu","Mrs. GREEN APPLE","ケセラセラ","Universal Music LLC",2,5,290,"253939"
6,"spotify:track:7o0TPSw494RG2Q4iWmd1v6","Ado","唱","UME - Global Clearing House",1,6,155,"239191"
7,"spotify:track:6nIoYpfSvie3Ln46dyi8FC","back number","冬と春","Universal Music LLC",7,7,15,"220096"
8,"spotify:track:170XOP1T4MvY9TLTgPw07D","Mrs. GREEN APPLE","Magic","Universal Music LLC",4,10,241,"213638"
9,"spotify:track:5LkmpgQYtwHtuvASgnLBe1","Mrs. GREEN APPLE","ダンスホール","Universal Music LLC",2,8,625,"207361"
10,"spotify:track:0GWNtMohuYUEHVZ40tcnHF","King Gnu","SPECIALZ","Sony Music Labels Inc.",1,9,161,"202943"
11,"spotify:track:3YML5IHoqWbw9c9vJJvrvM","Mrs. GREEN APPLE","Soranji","Universal Music LLC",10,12,478,"198655"
12,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,13,209,"197123"
13,"spotify:track:7dTW21YAJxnAOiUh7Rtu9S","Vaundy","怪獣の花唄","SDR Inc.",1,11,1163,"187837"
14,"spotify:track:5eY7692tmgHB9dbmq6wa2M","Yorushika","晴る","Universal Music LLC",14,15,34,"183054"
15,"spotify:track:74X2u8JMVooG2QbjRxXwR8","LE SSERAFIM","Perfect Night","SOURCE MUSIC",6,14,104,"181687"
16,"spotify:track:0YTM7bCx451c6LQbkddy4Q","YOASOBI","勇者","YOASOBI",3,16,133,"173981"
17,"spotify:track:7r23DlIJauiYbGYojLgarV","OFFICIAL HIGE DANDISM","SOULSOUP","IRORI Records",12,17,57,"169680"
18,"spotify:track:3jNwPOqdPvQIr5dRT0hzgY","Vaundy","タイムパラドックス","SDR Inc.",18,18,32,"166832"
19,"spotify:track:2EmkTBTh964LQen4Vz0svg","Ryokuoushoku Shakai","花になって - Be a flower","Sony Music Labels Inc.",6,20,97,"162308"
20,"spotify:track:5qqqgLXECWbgaKLlq4YWkS","noa","全方向美少女","乃紫",20,22,34,"157042"
21,"spotify:track:3zbKiko8V3u2yn1RcT8xBZ","Tatsuya Kitani","青のすみか","Sony Music Labels Inc.",2,25,217,"156164"
22,"spotify:track:5RIQU2JDuXC4NkLiHNNMon","Fujii Kaze","花","Universal Music LLC",7,23,119,"156123"
23,"spotify:track:5BC6kr6etk2Y9J62AyI4i3","Mrs. GREEN APPLE","青と夏","Universal Music LLC",5,19,2033,"155998"
24,"spotify:track:3wJHCry960drNlAUGrJLmz","Yorushika","ただ君に晴れ","U&R records",12,21,1739,"155458"
25,"spotify:track:49F3htNmwzPKFycPdOrDvf","OFFICIAL HIGE DANDISM","Subtitle","IRORI Records",1,26,485,"150352"
26,"spotify:track:2kXER8pkjxDVQnlagpVJJw","Hitsujibungaku","more than words","F.C.L.S.",8,28,160,"149480"
27,"spotify:track:0OeTb9sIQTNq313HQHv9TM","Mrs. GREEN APPLE","春愁","Universal Music LLC",27,33,1390,"148478"
28,"spotify:track:18mkDTCwDfZyTJNYieHxhQ","Number_i","GOAT","TOBE MUSIC",3,27,39,"148080"
29,"spotify:track:1H3qOzheTPhE7aVvJOWfvA","SPITZ","美しい鰭","Universal Music LLC",2,24,304,"146844"
30,"spotify:track:7M0dIdZWN1FDcveRdoOzbZ","Yuuri","ビリミリオン","Sony Music Labels Inc.",4,32,385,"146680"
31,"spotify:track:3XRtleCmmS1VGA0jwjBCvd","shy taupe","ランデヴー","shytaupe records",3,29,182,"145737"
32,"spotify:track:2hXPmiqKdXcbV0L1VKnTDN","SEKAI NO OWARI","最高到達点","Universal Music LLC",17,34,144,"145461"
33,"spotify:track:7Md0Rk4s9khBtVpSD03bWl","Mrs. GREEN APPLE, Sonoko Inoue","点描の唄","Universal Music LLC",15,31,1717,"142868"
34,"spotify:track:2aC8t7OpwfBLTE4KWrJhN6","Marcy","ラブソング","Universal Music LLC",11,35,129,"141807"
35,"spotify:track:3RvdkNMcSy71m0aT6UF9Uf","back number","水平線","Universal Music LLC",1,30,909,"141770"
36,"spotify:track:2vOAHp8PBBFYqvQUWSoITY","Mrs. GREEN APPLE","インフェルノ","Universal Music LLC",13,37,1666,"139154"
37,"spotify:track:5m21ZR5lO6U0tp9KENxuCc","MY FIRST STORY","I'm a mess","INTACT RECORDS",6,38,321,"136469"
38,"spotify:track:2jdbZGFp8KVTuk0YxDNL4l","back number","高嶺の花子さん","Universal Music LLC",7,36,1806,"132449"
39,"spotify:track:4FMz2RFrbDGzJO7K4D0vS3","back number","HAPPY BIRTHDAY","Universal Music LLC",23,39,1215,"131809"
40,"spotify:track:4IfrM44LofE9bSs6TDZS49","Tani Yuuki","W / X / Y","Valley Records",1,40,774,"126105"
41,"spotify:track:0J0P8iSE6l3pYHbUdNFYdS","King Gnu","カメレオン","Sony Music Labels Inc.",1,42,711,"125351"
42,"spotify:track:3QIAwtEEDOrv0g5NKCGrXZ","back number","花束","Universal Music LLC",37,41,1582,"124518"
43,"spotify:track:1zd35Y44Blc1CwwVbW3Qnk","YOASOBI","群青","YOASOBI",5,43,1255,"123808"
44,"spotify:track:5W7Y92LB4jWvu9NeEQ0GZl","Macaroni Empitsu","なんでもないよ、","Toy's Factory",1,44,827,"123738"
45,"spotify:track:6zjk7Qbwb9DZ4ykUUoqknh","10-FEET","第ゼロ感","Universal Music LLC",5,47,434,"122075"
46,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",4,46,416,"122038"
47,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",3,45,402,"121725"
48,"spotify:track:1VoTe7qVyqyMNLgZpQeugO","YOASOBI","祝福","YOASOBI",6,48,495,"121349"
49,"spotify:track:4dmruTsdHIOjfOIeaFitXK","Omoinotake","幾億光年","Sony Music Labels Inc.",49,51,11,"121265"
50,"spotify:track:4JK1kDUdH9RTBQrrSO1QfR","Yuuri","ベテルギウス","Sony Music Labels Inc.",1,49,826,"117311"
51,"spotify:track:4kPlQKwtPrnqLgrmmKFSlA","Yuuri","ドライフラワー","Sony Music Labels Inc.",1,50,1194,"117015"
52,"spotify:track:0JcI7OdALbpSFkyKoufRYs","Mrs. GREEN APPLE","ロマンチシズム","Universal Music LLC",21,52,1443,"102112"
53,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",53,62,223,"93450"
54,"spotify:track:7cl2rrUX3x8GVDF7Du2Bnf","TWICE","I GOT YOU","WM Japan",52,53,6,"93107"
55,"spotify:track:34ayWAUrQcrjlKZOJAzqke","back number","アイラブユー","Universal Music LLC",8,55,472,"87132"
56,"spotify:track:4ayU74yaWEgHHpaf1WJ313","音田 雅則","fake face dance music","音田 雅則",12,56,212,"86198"
57,"spotify:track:2W9wXj4s5gR3lnV3gNrDaK","Mrs. GREEN APPLE, asmi","ブルーアンビエンス","Universal Music LLC",51,65,604,"84865"
58,"spotify:track:4ER5mnbHqsvggEcoVMdFSk","Mrs. GREEN APPLE","ANTENNA","Universal Music LLC",53,63,152,"83396"
59,"spotify:track:0AShUU6EUvnSWoqGdheDSA","Mrs. GREEN APPLE","私は最強","Universal Music LLC",31,54,457,"83314"
60,"spotify:track:2QYnONicU24TXbkhtaemOM","Ayumu Imazu","Obsessed","WM Japan",59,59,7,"82741"
61,"spotify:track:28MATCYDctW5EiBa2repxb","Ado","新時代","Universal Music LLC",1,58,610,"81433"
62,"spotify:track:1VHL1PIkhDwWbFc65xHwOr","Novelbright","愛とか恋とか","Universal Music LLC",7,57,661,"81168"
63,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",12,76,97,"81093"
64,"spotify:track:36jIu8oPR1Z4cguMuHxUXA","OFFICIAL HIGE DANDISM","TATTOO","IRORI Records",4,68,293,"80983"
65,"spotify:track:5sdQOyqq2IDhvmx2lHOpwd","NewJeans","Super Shy","ADOR",4,61,216,"79845"
66,"spotify:track:4iBO3Jg6kSXZHw06db0ds3","Aimyon","愛の花","WM Japan",6,64,309,"78957"
67,"spotify:track:0tnhoHUrHfcLi9hPknUFZ4","Mrs. GREEN APPLE","僕のこと","Universal Music LLC",15,66,1763,"77628"
68,"spotify:track:6MCjmGYlw6mQVWRFVgBRvB","YOASOBI","夜に駆ける","YOASOBI",1,72,1424,"75874"
69,"spotify:track:014Dp0tBp4d9uuFAvH1mlc","back number","怪盗","Universal Music LLC",10,74,990,"74870"
70,"spotify:track:56v8WEnGzLByGsDAXDiv4d","NewJeans","ETA","ADOR",11,70,202,"74165"
71,"spotify:track:1Vqs0lXeJafYZz2sxnfB3V","Saucy Dog","シンデレラボーイ","A-Sketch",2,67,851,"73477"
72,"spotify:track:60ReNXcPcsVFd7nUuQw5HZ","OFFICIAL HIGE DANDISM","ミックスナッツ","IRORI Records",1,84,665,"72083"
73,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",8,92,132,"71589"
74,"spotify:track:7b4fxkOA4NDr4tDylrb10K","natori","Overdose","Sony Music Labels Inc.",2,73,514,"71445"
75,"spotify:track:7ncPjJBktLEOpstY5JOUMK","King Gnu","一途","Sony Music Labels Inc.",1,78,791,"70035"
76,"spotify:track:0bMoNdAnxNR0OuQbGDovrr","LE SSERAFIM","ANTIFRAGILE","SOURCE MUSIC",18,79,479,"69826"
77,"spotify:track:6nhGcCOyjnHshIJjPROEBF","Ado","ショコラカタブラ","UME - Global Clearing House",69,69,8,"69665"
78,"spotify:track:5j7ixaLeGTGSv4DzKs0pCM","Yorushika","だから僕は音楽を辞めた","U&R records",51,71,1120,"68658"
79,"spotify:track:2N0SPREDYqILVEFSsWF5N5","V","Love Me Again","BIGHIT MUSIC",15,60,181,"68408"
80,"spotify:track:3khEEPRyBeOUabbmOPJzAG","Kenshi Yonezu","KICK BACK","Sony Music Labels Inc.",1,83,485,"67984"
81,"spotify:track:172fMG26G2OoEzzg0wn26r","King Gnu","白日","Sony Music Labels Inc.",1,77,1813,"67674"
82,"spotify:track:6AncLCxf4U7ivJEaqih9zA","Vaundy","不可幸力","SDR Inc.",18,75,1300,"67334"
83,"spotify:track:7f9DsQEsIoeTwKxV6shsom","back number","恋","Universal Music LLC",67,87,411,"66343"
84,"spotify:track:4ETc1oFREuqQss7VQ1Y4mj","Vaundy","花占い","SDR Inc.",17,89,948,"66259"
85,"spotify:track:51vRumtqbkNW9wrKfESwfu","LE SSERAFIM, Nile Rodgers","UNFORGIVEN (feat. Nile Rodgers)","SOURCE MUSIC",13,91,283,"66178"
